"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 20 15:03:01 GMT 2022","Tue Dec 20 15:03:01 GMT 2022","1","","","","","","Уменьшение топлива при движении",""
"passed","Tue Dec 20 15:03:01 GMT 2022","Tue Dec 20 15:03:01 GMT 2022","1","","","","","","Невозможно изменить положение в пространстве тела, у которого нельзя прочитать свойство Position",""
"passed","Tue Dec 20 15:03:01 GMT 2022","Tue Dec 20 15:03:01 GMT 2022","1","","","","","","Невозможно изменить положение в пространстве тела, у которого нельзя изменить значения свойство Position",""
"passed","Tue Dec 20 15:03:01 GMT 2022","Tue Dec 20 15:03:01 GMT 2022","1","","","","","","Движение согласно направлению (направление 1)",""
"passed","Tue Dec 20 15:03:01 GMT 2022","Tue Dec 20 15:03:01 GMT 2022","2","","","","","","Исключение CommandException если топлива не хватает",""
"passed","Tue Dec 20 15:03:01 GMT 2022","Tue Dec 20 15:03:01 GMT 2022","1","","","","","","Невозможно изменить положение в пространстве тела, у которого нельзя прочитать значения свойство Velocity",""
"passed","Tue Dec 20 15:03:01 GMT 2022","Tue Dec 20 15:03:01 GMT 2022","2","","","","","","Тело меняет положение в пространстве",""
"passed","Tue Dec 20 15:03:01 GMT 2022","Tue Dec 20 15:03:01 GMT 2022","1","","","","","","Движение согласно направлению (направление 13)",""
"passed","Tue Dec 20 15:03:01 GMT 2022","Tue Dec 20 15:03:01 GMT 2022","1","","","","","","Движение согласно направлению (направление 0)",""
