"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 08 16:58:53 GMT 2022","Thu Dec 08 16:58:53 GMT 2022","2","","","","","","Тело меняет положение в пространстве",""
"passed","Thu Dec 08 16:58:53 GMT 2022","Thu Dec 08 16:58:53 GMT 2022","2","","","","","","Уменьшение топлива при движении",""
"passed","Thu Dec 08 16:58:53 GMT 2022","Thu Dec 08 16:58:53 GMT 2022","1","","","","","","Невозможно изменить положение в пространстве тела, у которого нельзя прочитать свойство Position",""
"passed","Thu Dec 08 16:58:53 GMT 2022","Thu Dec 08 16:58:53 GMT 2022","2","","","","","","Движение согласно направлению (направление 1)",""
"passed","Thu Dec 08 16:58:53 GMT 2022","Thu Dec 08 16:58:53 GMT 2022","1","","","","","","Движение согласно направлению (направление 0)",""
"passed","Thu Dec 08 16:58:53 GMT 2022","Thu Dec 08 16:58:53 GMT 2022","1","","","","","","Невозможно изменить положение в пространстве тела, у которого нельзя изменить значения свойство Position",""
"passed","Thu Dec 08 16:58:53 GMT 2022","Thu Dec 08 16:58:53 GMT 2022","0","","","","","","Невозможно изменить положение в пространстве тела, у которого нельзя прочитать значения свойство Velocity",""
"passed","Thu Dec 08 16:58:53 GMT 2022","Thu Dec 08 16:58:53 GMT 2022","1","","","","","","Движение согласно направлению (направление 13)",""
"passed","Thu Dec 08 16:58:53 GMT 2022","Thu Dec 08 16:58:53 GMT 2022","2","","","","","","Исключение CommandException если топлива не хватает",""
