"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 11 10:33:37 GMT 2022","Tue Oct 11 10:33:37 GMT 2022","1","","","","","","Невозможно изменить положение в пространстве тела, у которого нельзя прочитать значения свойство Velocity",""
"passed","Tue Oct 11 10:33:37 GMT 2022","Tue Oct 11 10:33:37 GMT 2022","1","","","","","","Невозможно изменить положение в пространстве тела, у которого нельзя прочитать свойство Position",""
"passed","Tue Oct 11 10:33:37 GMT 2022","Tue Oct 11 10:33:37 GMT 2022","2","","","","","","Тело меняет положение в пространстве",""
"passed","Tue Oct 11 10:33:37 GMT 2022","Tue Oct 11 10:33:37 GMT 2022","2","","","","","","Невозможно изменить положение в пространстве тела, у которого нельзя изменить значения свойство Position",""
